date,title,section,author,summary,full_text,url,sentiment_label,sentiment_score,next_day_return,next_day_up
2023-10-08,Call money rates may ease after RBI guv Das urges to lend in overnight mkt,Finance,,"RBI Monetary Policy Highlights: The SDF rate is 6.25 per cent, which is lower than the call money rate",RBI Governor Shaktikanta Das (photo: pti),https://www.business-standard.com/finance/news/call-money-rates-to-ease-after-rbi-governor-shaktikanta-das-comments-123100800523_1.html,negative,-0.7038,,
2023-10-08,"India, Saudi Arabia sign MoU on grid connection and green hydrogen",Economy,,Union Minister R.K. Singh: Singh urged the MENA countries to join the Global Biofuel Alliance to bolster international cooperation in sustainable biofuels and fully harness the potential of the Alliance,Union Minister R K Singh,https://www.business-standard.com/economy/news/india-saudi-arabia-sign-mou-on-grid-connection-and-green-hydrogen-123100800769_1.html,positive,0.8798,,
2023-10-08,Result preview: India Inc's show likely to fail to dazzle in Q2FY24,Markets,,"Brokerages see profit growth at 19.6%, slower than Q1",Illustration: Ajay Mohanty,https://www.business-standard.com/markets/stock-market-news/brokerage-estimates-suggests-a-further-slowdown-in-corporate-earnings-in-q2-123100800831_1.html,negative,-0.8886,,
2023-10-08,"Rs 50,000 crore to fuel Maruti Suzuki India's expansion plans by FY31",Companies,,"Rs 45,000 cr to go towards boosting capacity by 2 mn, says Bhargava","3 Months ₹300/Month 1 Year ₹225/Month 2 Years ₹162/Month Renews automatically, cancel anytime Home Markets Premium Decoded In brief",https://www.business-standard.com/companies/news/rs-50-000-crore-to-fuel-maruti-suzuki-india-s-expansion-plans-by-fy31-123100800738_1.html,positive,0.8927,,
2023-10-08,Reliance General Insurance gets Rs 922 crore GST notices from DGGI,Companies,,Bankers suggest that the new tax demand could impact the company's valuation,Photo: Wikimedia Commons,https://www.business-standard.com/companies/news/reliance-general-insurance-gets-rs-922-crore-gst-notices-from-dggi-123100800262_1.html,negative,-0.9008,,
2023-10-08,Fuel levy likely to pull in nearly Rs 100 crore per week for IndiGo,Companies,,"Indigo fuel surcharge: ATF costs are the largest expenditure for Indian carriers, consuming about 45 per cent of their overall revenue",Photo: Bloomberg,https://www.business-standard.com/companies/news/indigo-expects-to-earn-nearly-rs-100-crore-per-week-from-fuel-charge-123100800722_1.html,neutral,-0.1361,,
2023-10-08,From music parties to war rooms to AI: Inside e-tail festival battles,Companies,,"Amazon, Flipkart sale: E-commerce retailers are expected to garner sales worth Rs 90,000 crore this festive season, 18-20 per cent higher than last year, according to the analysts","Flipkart leadership (from left to right) - Rajneesh Kumar, Hemant Badri, Amitesh Jha with the Flipsters during TBBD 2023 kick-off celebrations",https://www.business-standard.com/companies/news/amazon-flipkart-start-festive-battle-draw-up-sales-strategy-in-war-rooms-123100800817_1.html,positive,0.9281,,
2023-10-08,"MRF to Meta: Brands bowl cricket fans over with ads, watchdog on its toes",Companies,,"ICC Cricket World Cup 2023: Leading labels from diverse industries such as Coca-Cola, MRF, Royal Stag, Meta and Booking.com are running ad and marketing campaigns with catchy phrases",India began its World Cup campaign with a six-wicket win over Australia in Chennai on Sunday. India chased a target of 200 runs in 41.2 overs,https://www.business-standard.com/companies/news/mrf-to-meta-brands-bowl-cricket-fans-over-with-ads-watchdog-on-its-toes-123100800898_1.html,neutral,0.0431,,
2023-10-08,"Three bidders in race to acquire RInfra road projects for Rs 6,000 crore",Companies,,R-Infra projects: The sale of the entire road portfolio of Reliance Infrastructure is anticipated by the end of this month,Anil Ambani (Photo: Bloomberg),https://www.business-standard.com/companies/news/3-bidders-in-race-to-buy-r-infra-projects-at-enterprise-value-of-rs-6k-cr-123100800556_1.html,neutral,0.0495,,
2023-10-08,G20 FMCBG meeting at Marrakesh: All eyes on MDB reform road map,Economy,,"G20 FMCBG meeting: On crypto assets, Lavasa said it may not be a major priority as there are several issues related to it that require acceptance",Finance Minister Nirmala Sitharaman,https://www.business-standard.com/economy/news/g20-fmcbg-meeting-at-marrakesh-all-eyes-on-mdb-reform-road-map-123100801027_1.html,neutral,0.0159,,
